The Elms Community School,Gymnasium - North,Gymnasium,West District
Flagstaff Park - Outdoor Pool,Pool (C)-Outdoor,Pool - Outdoor - C,West District
Toronto Pan Am Sports Centre,Training Pool - Shallow Lane 1,Pool-Indoor,East District
Elmbank Community Centre,Meeting Room (C),Room - C,West District
Mitchell Field Community Centre,Activity Room (C),Room - C,North District
Ellesmere Community Centre,Kitchen (A),Kitchen - A,East District
Warden Hilltop Community Centre,Art Studio (C),Room - C,East District
Wexford Collegiate Institute,Pool SE2,Pool - Indoor - A,East District
Hillcrest Park,Wading Pool,Pool-Wading,South District
Grandravine Community Recreation Centre,Rink (A),Rink-Indoor - A,North District
Fairbank Memorial Community Centre,Multipurpose Room (B),Room - B,North District
Etobicoke Olympium,Patio Pool (B)-Indoor,Pool - Indoor - B,West District
Gord And Irene Risk Community Centre,Studio (B),Room - B,West District
Calico PS,Room 111,Room - C,North District
Trinity Community Recreation Centre,PW Room (C),Room - C,South District
Leaside Memorial Gardens Arena,Auditorium,Auditorium,North District
Wellesley Community Centre,Multipurpose Room B (B),Room - B,South District
Lawrence Heights Community Centre,Gym (B),Gym - B,North District
Gosford PS,Soccer/Diamond (C) - TDSB,Parkland,North District
Earlscourt Park,Field 1N (Premier) (Lit),Sport Field - Premier,West District
Joseph J. Piccininni Community Centre,Gym (B),Gym - B,West District
Iroquois JES,Gym,Gymnasium,East District
Warden Hilltop Community Centre,Gym 1 (B),Gym - B,East District
Westmount Park - Outdoor Pool,Pool (C)-Outdoor,Pool - Outdoor - C,West District
Centennial Recreation Centre-Scarborough,Tots Room (C),Room - C,East District
McGregor Park Community Centre,Commons Room (C),Room - C,East District
Dennis R.Timbrell Resource Centre,Lounge (C),Room - C,North District
Rotary Peace Park - Outdoor Pool,Pool (A)-Outdoor,Pool - Outdoor - A,West District
Driftwood Community Recreation Centre,Room 1 (C),Room - C,North District
Earl Beatty Community Centre,Pool SE2,Pool - Indoor - B,South District
L'Amoreaux Tennis Centre,Tennis Bubble - Court 06,Court - Tennis,East District
North Kipling Community Centre,Parkview 1 (C),Room - C,West District
Centennial Recreation Centre - Etobicoke,SE1,Pool - Indoor - C,West District
Islington CS,UA Room,Room-Craft,West District
Markdale Preschool Site,Multipurpose Room,Room,South District
Centennial Rd  JES,Gym,Gymnasium,East District
Ken Cox Community Centre,Dance Studio (A),Room - A,West District
Gordon A Brown Middle School,Pool DE 2,Pool - Indoor - C,South District
Golf Road ES,Gym,Gymnasium,East District
Milliken Park Community Recreation,Lounge (C),Room - C,East District
St. Boniface CSS,Room (ARC),Room,East District
S.H. Armstrong Community Centre,Pool DE1,Pool - Indoor - C,South District
Cedarbrook Community Centre,Room 1 2 (C),Room - C,East District
Baycrest Arena,Rink (A),Rink-Indoor - A,North District
Islington CS,Gymnasium A,Gym - C,West District
Thistletown Community Centre,Thistle Room (B),Room - B,West District
Malvern Recreation Centre,Gym 1 (A),Gym - A,East District
Dufferin Grove Park,AIR - Pleasure Pad (no boards),Rink-Outdoor,South District
Gus Ryder Pool And Health Club,Weight Room (C),Room - C,West District
Immaculate Conception CS,Gym (C),Gym - C,West District
Brown Community Centre,Meeting Room 1 (C),Room - C,South District
East York Community Centre,Pool (B)- Indoor,Pool - Indoor - B,South District
High Park,Pool (A)-Outdoor,Pool - Outdoor - A,West District
Regent Park South Community Centre,Nursery Room (C),Room - C,South District
Toronto Island Recreation,Wading Pool,Pool-Wading,South District
Milliken Park Community Recreation,Community Room (C),Room - C,East District
Keele Community Centre,Gym 1 (B) TDSB,Gym - B,West District
Broadlands Park,Green Space,Parkland,North District
Wexford Collegiate Institute,Pool SE1,Pool - Indoor - A,East District
North Toronto Memorial Community Centre,DE1,Pool - Indoor - A,North District
L'Amoreaux Community Recreation Centre,Gym 1 2 3 (A),Gym - C,East District
St. Joachim CS,Gymnasium,Gymnasium,East District
Shoreham Park,Parkland,Parkland,North District
Leslie Grove Park,Wading Pool,Pool-Wading,South District
Toronto Pan Am Sports Centre,Training Pool - Lane 2,Pool-Indoor,East District
Mount Dennis Community Hall,Boardroom (C),Room - C,West District
Warden Hilltop Community Centre,Preschool Room (C),Room - C,East District
Weston Lions Park,Pool (B)-Outdoor,Pool - Outdoor - B,West District
McGregor Park Community Centre,Pool (A)-Outdoor,Pool - Outdoor - A,East District
Bendale Business Technical Institute,Pool DE1,Pool - Indoor - B,East District
North Toronto Memorial Community Centre,North Walkway,Patio,North District
Hollycrest CS,Classroom 6,Room-School,West District
Parkway Forest Community Centre,Youth Space  (C),Room - C,North District
Etobicoke Civic Centre,Claireville Bus Pick Up,Parking Lot,West District
Broadlands Community Centre,Room 1 (C),Room - C,North District
Greenwood Park,Dry Pad (A),Outdoor Dry Pad - A,South District
High Park,High Park Children's Garden (2),Garden,West District
St. Marcellus CSS,Room 106,Room,West District
Smithfield CS,Room,Room,West District
Rockcliffe MS,Gymnasium,Gymnasium,West District
West Mall Rink - Outdoor Artificial Ice,AIR - Rink 2,Rink-Outdoor,West District
St. Aidan CS,Gymnasium,Gym - C,East District
Etobicoke Olympium,Olympic Pool (P) - Shallow End,Pool - Indoor - P,West District
Agincourt Recreation Centre,DE2 - Lap,Pool - Indoor - A,East District
McGregor Park Community Centre,Pool SE 1,Pool - Outdoor - A,East District
Elmbank Community Centre,Fitness Room (C),Room - C,West District
Malvern Recreation Centre,Lobby - East (C),Lobby,East District
East York Community Centre,Pool DE 2,Pool - Indoor - B,South District
Amesbury Community Centre,Meeting Room 4 (C),Room - C,West District
Grandravine Community Recreation Centre,Room 107/Kitchen (B),Room - B,North District
North Toronto Memorial Community Centre,AIR - Rink (no boards),Rink-Outdoor,North District
McCormick Park,Wading Pool,Pool-Wading,South District
Lithuania Park,Parkland,Parkland,West District
Matty Eckler Recreation Centre,Table Tennis Room (C),Room - C,South District
Chelsea Avenue Playground,Wading Pool,Pool-Wading,South District
L'Amoreaux Community Recreation Centre,Gym 1  2 (B),Gym - B,East District
Glen Long Community Centre,Courts All,Court - Bocce,North District
Wellesley Community Centre,Kitchen (C),Kitchen - C,South District
Main Square Community Centre,Lobby - Main,Lobby,South District
West Rouge Community Centre,Garden Area,Patio,East District
Runnymede Collegiate Institute,Gymnasium 1,Gymnasium,West District
Victoria Village PS,Gym,Gymnasium,North District
Albert Campbell Square,AIR - Albert Campbell Square,Rink-Outdoor,N/A
St. Lawrence Community Recreation Centre,Fitness/Dance Studio (B),Room - B,South District
Oakdale Community Centre,Kitchen - (B) No Alcohol,Kitchen - B,North District
Marian Engel Park,Wading Pool,Pool-Wading,South District
Memorial Pool And Health Club,Pool DE2,Pool - Indoor - A,West District
Roding Community Centre,Lower Floor Meeting Room (B),Room - B,North District
James S. Bell CS,Music Room,Room,West District
O'Connor Community Centre,Community Room ( C),Room - C,North District
Oakdale Community Centre,Room 1/Seniors (B) - No Alcohol,Room - B,North District
Port Union Community Recreation Centre,Activity Room B (C),Room - C,East District
O'Connor Community Centre,Weight Room,Room-Fitness/Weight,North District
L'Amoreaux Tennis Centre,Tennis Indoor - Court 01,Court - Tennis,East District
Joseph J. Piccininni Community Centre,Pool (A)-Indoor,Pool - Indoor - A,West District
The Elms Community School,Gymnasium - South,Gymnasium,West District
St. Lawrence Community Recreation Centre,Lounge (B),Room - B,South District
John G. Althouse CS,Classroom 7,Room,West District
Margaret Fairley Park,Wading Pool,Pool-Wading,South District
Sir Oliver Mowat Collegiate Institute,Pool (B) SE1,Pool - Indoor - B,East District
Joseph J. Piccininni Community Centre,Indoor Playfield (A),Gym - A,West District
Berner Trail Community Centre,Craft Room (C),Room - C,East District
Cedarbrook Community Centre,Board Room (C),Room - C,East District
Fairfield Seniors' Centre,Kitchen (C),Kitchen - C,West District
Thistletown Seniors' Ctr,Auditorium,Gymnasium,West District
John English CS,Auditorium - North end of School,Auditorium,West District
Riverdale Park East,AIR - Rink,Rink-Outdoor,South District
East York Community Centre,Gym (A),Gym - A,South District
Fred Hamilton Playground,Wading Pool,Pool-Wading,South District
Horner Ave Seniors Centre,Billiards Room,Room,West District
David Crombie Park,Wading Pool,Pool-Wading,South District
Humberwood Community Centre,Stage,Stage,West District
Toronto Pan Am Sports Centre,Training Pool - Deep Lane 2,Pool-Indoor,East District
Westway Outdoor Rink,AIR - Rink (A),Rink-Outdoor,West District
Matty Eckler Recreation Centre,Dance Studio (C),Room - C,South District
Holy Family Community Centre,Gymnasium (B),Gym - B,South District
Dieppe Park,Skate Change Room,Room-Dressing,South District
Lionel Conacher Park,Wading Pool,Pool-Wading,South District
Angela James Arena - Flemingdon,Rink (A),Rink-Indoor - A,North District
Driftwood Community Recreation Centre,Leisure Centre -Pool (C) - Outdoor,Pool - Outdoor - C,North District
Domenico DiLuca Community Centre,Meeting Room 1 (C),Room - C,West District
Burrows Hall Community Centre,Community Room N&S (A),Room - A,East District
McGregor Park Community Centre,Harrison Rm - East (B),Room - B,East District
Earl Bales Community Centre,Meeting Room 3 (C),Room - C,North District
Northwood Community Centre,Room 5/Solarium (C),Room - C,North District
Oakridge Community Recreation Centre,Kitchen (A),Kitchen - A,East District
Adam Beck Community Centre,Change  Room (M),Room-Dressing,South District
Otter Creek Centre,AIR - Rink (boards),Rink-Outdoor,North District
Warden Hilltop Community Centre,Meeting Room (C),Room - C,East District
Centennial Recreation Centre-Scarborough,Pool (A)-Indoor,Pool - Indoor - A,East District
Toronto Pan Am Sports Centre,Gym 4 Court 1,Gymnasium,East District
Swansea Community Recreation Centre,Pool (B) - Indoor,Pool - Indoor - B,West District
Trinity Community Recreation Centre,Assembly Hall (B),Room - B,South District
St. Lawrence Community Recreation Centre,Pool SE1,Pool - Indoor - B,South District
Immaculate Conception CS,Parkland,Parkland,West District
Park Lawn CS,New Gymnasium,Gymnasium,West District
Trinity Community Recreation Centre,Dance Studio (B),Room-Fitness/Weight,South District
Park Lawn CS,Room 17,Room,West District
Parkway Forest Community Centre,Arts & Craft Room (C),Room - C,North District
Thistletown Seniors' Ctr,Room 101,Room,West District
East York Memorial Arena,Dry Pad (A),Indoor Dry Pad - A,South District
Oriole Community Centre,Multipurpose Room (B),Room - B,North District
Park Lawn CS,Library,Library,West District
Oriole Community Centre,Youth Lounge (C),Room - C,North District
Adam Beck Community Centre,Gymnasium (B),Gym - B,South District
Earlscourt Park,Earlscourt Wading Pool,Pool-Wading,West District
Jenner Jean-Marie Community Centre,Kitchen (B),Kitchen - B,North District
John Innes Community Recreation Centre,Crafts Room (C),Room - C,South District
Park Lawn CS,General Purpose Room,Room,West District
Heron Park Community Centre,Main Hall (B),Room - B,East District
Angela James Arena Tennis,Court 2,Court - Tennis,North District
Thistletown Seniors' Ctr,Thistle Room,Room,West District
Toronto Pan Am Sports Centre,Training Pool - Deep Lane 9,Pool-Indoor,East District
Wellesley Community Centre,Gym (A),Gym - A,South District
Eglinton Park,Wading Pool,Pool-Wading,North District
Beresford Park,Beresford Wading Pool,Pool-Wading,West District
Rennie Park,AIR - Rink 2 (A),Rink-Outdoor,West District
Centennial Recreation Centre-Scarborough,Beach Volleyball Court 1,Court - Volleyball,East District
Our Lady of the Assumption CS,Gymnasium,Gymnasium,North District
Summerlea Park,Wading Pool,Pool-Wading,West District
Carlton Park,Wading Pool,Pool-Wading,South District
Cummer Park Community Centre,Multi-purpose Room Kitchen(B),Kitchen - B,North District
Banbury Community Centre,Banquet Hall (B),Room - B,North District
Roding Community Centre,Gym (B),Gym - B,North District
Sorauren Avenue Park,Area,Parkland,South District
Agincourt Recreation Centre,Lap DE,Pool - Indoor - A,East District
Agincourt Recreation Centre,Conversation Pool (A),Pool - Indoor - A,East District
Earl Bales Community Centre,Multipurpose Room 4 (C),Room - C,North District
Kempton Howard Park,Wading Pool,Pool-Wading,South District
Ancaster Junior Elementary School,Room 2 (C),Room - C,North District
Thistletown Community Centre,Ted Hodgson Room (307) (B),Room - B,West District
Oriole Community Centre,Senior's Lounge (C),Room - C,North District
Hilltop Community School,Big Gym,Gymnasium,West District
Driftwood Community Recreation Centre,Computer Lab (C),Room,North District
Bayview Arena,Rink (A),Rink-Indoor - A,North District
Glen Long Community Centre,AIR - Rink (A),Rink-Outdoor,North District
Van Horne Park,AIR - Pleasant View Rink,Rink-Outdoor,North District
C.R.Marchant MS,Gymnasium,Field,West District
Douglas Snow Aquatic Centre,Therapeutic Pool,Pool-Indoor,North District
Regent Park North Recreation Centre,Games Room,Room,South District
Oriole Community Centre,Lobby - Upper (C),Room - C,North District
L'Amoreaux Community Recreation Centre,Preschool Room 1 2,Room,East District
Power House Recreation Centre,Main Hall (B),Room - B,West District
DA Morrison Junior High School,Pool (B)-Indoor,Pool - Indoor - B,South District
Parkdale Community Recreation Centre,Field (TDSB),Field,South District
Thomson Memorial Park,Birkdale Ravine,Parkland,East District
Swansea Community Recreation Centre,Pool SE1-(C),Pool - Indoor - C,West District
Hillcrest Community Centre,Room #113 (C),Room - C,South District
Alexandra Park,Outdoor Pool (C),Pool - Outdoor - C,South District
Earl Bales Community Centre,Meeting Room 5 (C),Room - C,North District
Trinity Community Recreation Centre,Pool (B),Pool - Indoor - B,South District
L'Amoreaux Community Recreation Centre,Studio Room 2 (C),Room - C,East District
Humberwood Community Centre,Gym ABC (A),Gym - A,West District
O'Connor Community Centre,Front Lobby,Lobby,North District
Agincourt Recreation Centre,DE1 - Lap,Pool - Indoor - A,East District
Smithfield CS,Old Lunch Room,Cafeteria,West District
Annette Community Recreation Centre,Gym 1 (B),Gym - B,West District
Osler Playground,Wading Pool,Pool-Wading,South District
Geary Avenue Parkette,Geary Wading Pool,Pool-Wading,West District
Etobicoke Olympium,Gym-South (B),Gym - B,West District
Maryvale Park - Outdoor Pool,Pool (C)-Outdoor,Pool - Outdoor - C,East District
Joseph J. Piccininni Community Centre,Community Room #3 - Upstairs (B),Room - B,West District
Malvern Recreation Centre,Rink 2 (A),Rink-Indoor - A,East District
St. Lawrence Community Recreation Centre,Pool SE2,Pool - Indoor - B,South District
Balmy Beach Community Recreation Centre,Art Room,Room,South District
Goulding Community Centre,Room 3 (Dance Room) (C),Room - C,North District
Northlea ES,Summer Camp Location,Room,North District
St. Ambrose CS,Gym,Gymnasium,West District
Brown Community Centre,Multipurpose Room,Room,South District
Matty Eckler Recreation Centre,Field,Field,South District
Edgehill House,Edgehill House (C),Room - C,West District
Parkdale Community Recreation Centre,Pool (B),Pool - Indoor - B,South District
Fairbank Memorial Community Centre,Lounge (C),Room - C,North District
Main Square Community Centre,Pool - DE2,Pool - Indoor - B,South District
Albert Campbell Collegiate Institute,Pool (B) - Indoor,Pool - Indoor - B,East District
Wellesley Community Centre,Parkland,Parkland,South District
Westgrove Park - Outdoor Pool,Pool-Outdoor- (C),Pool - Outdoor - C,West District
John Innes Community Recreation Centre,Kitchen,Kitchen - B,South District
Riverdale Farm,Simpson House Rm 1 (1st fl N/W) (C),Room - C,South District
Tecumseh Senior ES,Gym,Gymnasium,East District
Cedar Drive JES,Gym,Gymnasium,East District
Jenner Jean-Marie Community Centre,Lounge (C),Room - C,North District
Humberwood Community Centre,Gym B (B),Gym - B,West District
John G. Althouse CS,Gym A,Gymnasium,West District
Oriole Community Centre,Weight Room,Room-Fitness/Weight,North District
Matty Eckler Recreation Centre,Room 2 (C),Room - C,South District
Humber Valley Rink - Outdoor,AIR - Rink (A),Rink-Outdoor,West District
Maurice Cody Community Centre,Gym (C),Gym - C,South District
John Booth Arena,Rink (A),Rink-Indoor - A,North District
Balmy Beach Community Recreation Centre,South Gym,Gymnasium,South District
Don Montgomery Community Centre,Changeroom 2 (C),Room - C,East District
Lawrence Heights Community Centre,Weight Room - DO NOT BOOK,Room-Fitness/Weight,North District
L'Amoreaux Community Recreation Centre,Teen Lounge (C),Room - C,East District
Albert Crosland Parkette,Wading Pool,Pool-Wading,South District
Edithvale Community Centre,Zion Room - 209 (C),Room - C,North District
Northwood Community Centre,Banquet Hall (A),Room - A,North District
Joseph J. Piccininni Community Centre,HRDC Room (C),Room - C,West District
Grandravine Community Recreation Centre,Pool (C)-Outdoor,Pool - Outdoor - C,North District
Albion Arena,Rink (A),Rink-Indoor - A,West District
Lambton - Kingsway Park AIR,AIR - Rink,Rink-Outdoor,West District
Withrow Park,Diamond 2 - N (C),Diamond - C,South District
Rennie Park,Rennie Wading Pool,Pool-Wading,West District
St. Lawrence Community Recreation Centre,Gym (B),Gym - B,South District
Hilltop Community School,Room 14,Room,West District
Scadding Court Community Centre,Pool SE1,Pool - Indoor - B,South District
Lawrence Heights Community Centre,Youth Lounge (C),Room - C,North District
Flemingdon Park,Greenspace West/Dn Mills Road - (C),Sport Field - C,North District
The Elms Community School,Pool SE2-(B),Pool - Indoor - B,West District
Annette Community Recreation Centre,Studio (C),Room - C,West District
Frankland Community Centre,Pool (C),Pool - Indoor - C,South District
Malvern Recreation Centre,Drypad 1 (A),Indoor Dry Pad - A,East District
Birchmount Community Centre,Pool (P)-Indoor,Pool - Indoor - P,East District
Lambton Arena,Rink (A),Rink-Indoor - A,West District
Secord Community Centre,Multipurpose Room (A),Room - A,South District
North Kipling Community Centre,Youth Space - Heritage Room,Room,West District
Etobicoke Olympium,Fitness Club,Clubhouse,West District
George Syme CS,Gymnasium,Gymnasium,West District
John English CS,Library - 2nd Floor,Library,West District
John Innes Community Recreation Centre,Dance Studio (C),Room - C,South District
L'Amoreaux Community Recreation Centre,Billiards Room,Room,East District
Halbert Park,Pool (C)-Outdoor,Pool - Outdoor - C,East District
Malvern Recreation Centre,Gym Change Room #1 (C),Room - C,East District
Smithfield CS,Room 142,Room,West District
Bloordale Community School,Community School Room,Room-School,West District
Main Square Community Centre,Weight Room,Room-Fitness/Weight,South District
Antibes Community Centre,Multipurpose Room (C),Room - C,North District
Annette Community Recreation Centre,Craft Room (C),Room - C,West District
Driftwood Community Recreation Centre,Room 4 (C),Room - C,North District
Matty Eckler Recreation Centre,Gym (B),Gym - B,South District
Dentonia Park Golf Course,Parkland,Parkland,East District
Hilltop Community School,Classroom 3,Room-School,West District
Spencer - Cowan Parkette,Wading Pool,Pool-Wading,South District
Lessard Park,Soccer Field (DO NOT PERMIT),Field,West District
Ramsden Park,Wading Pool,Pool-Wading,South District
North Toronto Memorial Community Centre,Rec Room (B),Room - B,North District
Earl Bales Community Centre,Lobby (C),Room - C,North District
Hilltop Community School,Staff Room,Room,West District
Mount Dennis Community Hall,Multipurpose Room (C) - Upstairs,Room - C,West District
Joseph J. Piccininni Community Centre,Pool-Shallow End,Pool - Indoor - A,West District
Thistletown Community Centre,Room 102,Room,West District
St. Marcellus CSS,Central Etobicoke,Room,West District
DA Morrison Junior High School,Pool SE 2,Pool - Indoor - B,South District
Norseman Community School And Pool,Pool (B) - SE2,Pool - Indoor - B,West District
Smithfield CS,Room 102,Room,West District
Hillcrest Community Centre,Pool (C),Pool - Indoor - C,South District
Etobicoke Olympium,Gym-North (B),Gym - B,West District
Swansea Community Recreation Centre,Meeting Room (C),Room,West District
Toronto Pan Am Sports Centre,Gymnasium 3,Gymnasium,East District
Roywood Park,Soccer Field (A),Sport Field - A,North District
Port Union Community Recreation Centre,Health Club,Room-Fitness/Weight,East District
Humberwood Community Centre,Room 1024,Room,West District
Joseph Bannon Park,Rink - Minor,Rink-Outdoor,West District
Broadlands Community Centre,Auditorium (A),Room - A,North District
Malvern Recreation Centre,Community Kitchenette (A),Kitchen - A,East District
Frankland Community Centre,Gymnasium (B),Gym - B,South District
Wellesley Community Centre,Multipurpose Room A1 (C),Room - C,South District
Earl Bales Park,Parkland 2,Parkland,North District
Fairhaven Park - Outdoor Pool,Outdoor Pool -(C),Pool - Outdoor - C,West District
Northwood Community Centre,Room 10/Multipurpose (B),Room - B,North District
Don Montgomery Community Centre,Front Entrance (Arena Lobby),Lobby,East District
St. Lawrence Community Recreation Centre,Lobby,Lobby,South District
Parkdale Community Recreation Centre,Multipurpose Room 1 (C),Room - C,South District
St. Marcellus CSS,Kitchen,Room-School,West District
Riverdale Park East,Outdoor Pool (B),Pool - Outdoor - B,South District
Barbara Frum Community Centre,Kitchen (A),Kitchen,North District
Barbara Frum Community Centre,Multipurpose Room (A),Room - A,North District
George Webster ES,Gym,Gymnasium,South District
St. Marcellus CSS,Gym,Room-School,West District
Trinity Community Recreation Centre,Music Room (C),Room - C,South District
Oakridge Community Recreation Centre,Craft Rooms 1 2 (C),Room - C,East District
Pleasant View JHS,Summer Camp Location,Room-School,North District
McGregor Park Community Centre,Rink 1 (C),Rink-Indoor - C,East District
West Acres Seniors Centre,Multipurpose Room (B),Room - B,West District
Stephen Leacock Seniors Community Centre,Snooker Room,Room - C,East District
Fairmount Park Community Centre,Craft Room - Small Room (C),Room - C,South District
West Mall Rink - Outdoor Artificial Ice,AIR - Rink 1 (A),Rink-Outdoor,West District
Holy Family Community Centre,Gym 1 (C),Gym - C,South District
Norseman Community School And Pool,Pool (B)-Indoor,Pool - Indoor - B,West District
Albion Pool And Health Club,SE1,Pool - Indoor - A,West District
Trace Manes Park Community Centre,Seniors Room (C),Room - C,North District
Smithfield CS,Preschool Room,Room,West District
Masaryk- Cowan Community Centre,Childcare Room - 2nd Floor (C),Room - C,South District
S.H. Armstrong Community Centre,Pool (C),Pool - Indoor - C,South District
Hollycrest CS,Classroom 4,Room-School,West District
Bob Abate Community Recreation Centre,Preschool Room 1 & 2 (C),Room - C,South District
Joseph J. Piccininni Community Centre,Training Room (C),Room - C,West District
Oakridge Community Recreation Centre,Craft Room 2 (C),Room - C,East District
Commander Recreation Centre,Rink 1 (A),Rink-Indoor - A,East District
Maurice Cody Community Centre,Office-Other,Room,South District
John English CS,Room 205 - Kitchen,Room,West District
Alexandra Park,Wading Pool,Pool-Wading,South District
Jimmie Simpson Recreation Centre,Multipurpose Room (Upper Level) (B),Room - B,South District
Don Montgomery Community Centre,Rink 2 (A),Rink-Indoor - A,East District
Annette Community Recreation Centre,Gym 2 - TDSB (A),Gym - A,West District
Beaches Recreation Centre,Playschool Room (C),Room - C,South District
Earl Bales Ski and Snowboard Centre,Main Hill 1,Ski-Winter,North District
Northwood Community Centre,Greenspace North of CC (18th Hole),Parkland,North District
Memorial Pool And Health Club,Pool SE1,Pool - Indoor - A,West District
The Elms Community School,Pool DE2- (B),Pool - Indoor - B,West District
Albion Pool And Health Club,Pool (A)-Indoor,Pool - Indoor - A,West District
Beaches Recreation Centre,Gym (B),Gym - B,South District
Birchmount Community Centre,Scarborough Gardens Arena - Drypad (A),Indoor Dry Pad - A,East District
Fairbank Memorial Community Centre,Office (C),Room - C,North District
Sir Sandford Fleming Academy,Gym,Gymnasium,North District
Hollycrest CS,Christ The King Church,Chapel,West District
Annette Community Recreation Centre,Window Room (C),Room - C,West District
Ourland Community Centre,Soccer Field (B),Sport Field - B,West District
Ramsden Park,AIR - Rink 2 (A),Rink-Outdoor,South District
Topcliff PS,Soccer/Diamonds 2,Field,North District
McGregor Park Community Centre,Tennis Courts 1-4,Court - Tennis,East District
Mary McCormick Recreation Centre,Dance Studio (C),Room - C,South District
Leslie Grove Park,Fieldhouse,Clubhouse,South District
Flemingdon Community Centre,Playground Paradise - Party Bookings,Room,North District
Cedarbrae Collegiate Institute,Gym 2 3,Gymnasium,East District
Falstaff Community Centre,Weight Room,Room-Fitness/Weight,West District
Falstaff Community Centre,Meeting Room #1 (C),Room - C,West District
Maryvale Park - Outdoor Pool,Pool DE 1,Pool - Outdoor - C,East District
Sir Wilfrid Laurier Collegiate Institute,Pool (B)-Indoor,Pool - Indoor - B,East District
Don Montgomery Community Centre,Youth Space (C),Room - C,East District
Mary McCormick Recreation Centre,Crafts Room (C),Room - C,South District
Terry Fox Recreation Centre,Community Room (C),Room - C,South District
Bedford Park Community Centre,Change Room (F),Room-Dressing,North District
L'Amoreaux Community Recreation Centre,Parking Lot,Parking Lot,East District
Islington CS,Room,Room,West District
Ravina Gardens,Diamond 2 - SW (C),Diamond - C,West District
Lawrence Heights Community Centre,Room 16 (C),Room - C,North District
Etobicoke Civic Centre,Grassy Area Near West Entrance,Parking Lot,West District
Port Union Community Recreation Centre,Gymnatorium (B),Gym - B,East District
Gord And Irene Risk Community Centre,Tiny Tot Room  A & B (B),Room - B,West District
Norseman Community School And Pool,Soccer Field (Do Not Book),Field,West District
Kingsview Village CS,Gym A (B),Gym - B,West District
Domenico DiLuca Community Centre,Kitchen (B),Kitchen - B,West District
Park Lawn CS,Room 14,Room,West District
Hollycrest CS,Classroom 19,Room-School,West District
Jack Goodlad Centre,Hall (B),Room - B,East District
Northumberland Playground,Wading Pool,Pool-Wading,South District
Lawrence Heights Community Centre,Mom's & Tots - Room 6 & 7 (C),Room - C,North District
Birkdale Community Centre,Workshop (C),Room - C,East District
Knob Hill JES,Gym,Gymnasium,East District
Cummer Park,Court 1,Court - Tennis,North District
Lawrence Heights Community Centre,Room 3 (C),Room - C,North District
Toronto Pan Am Sports Centre,Studio 1,Room,East District
Balmy Beach Community Recreation Centre,Gym (B),Gym - B,South District
Gracedale Public School,Gym,Gymnasium,West District
Chalkfarm Community Centre,Tiny Tot Room (C),Room - C,West District
Halbert Park,Wading Pool (C),Pool-Wading,East District
Riverdale Farm,Meeting House Rm 2 (2nd fl pottery room),Room-Craft,South District
Hollycrest CS,Gym,Gymnasium,West District
Hollycrest CS,Classroom 17,Room,West District
