DROP-IN: Older Adult - Older Adult,Older Adults,Older Adult
CAN-BIKE - Adult,Sports,Adult
Camp Activity Youth - All Day Standard,Camps,Youth
Adult Swim: Swim Fit,Swimming,Adult
DROP-IN: Arts & Heritage - Adult,Arts & Heritage,Adult
Ultra Swim 9,Swimming,Child/Youth
Snb Child 8hrs With Rental,Ski,Child
Soccer - Adult,Sports,Adult
Snb 1/2 DayCamp Child 5day No Rental,Ski,Child
Guitar - Group - Youth,Arts & Heritage,Youth
Ultra Swim 7,Swimming,Child/Youth
Line Dance - Adult,Arts & Heritage,Adult
SPLASH Swim Team,Swimming,Child/Youth
General Interest Arts - Youth,Arts & Heritage,Youth
Challenge Bronze,Swimming,Child/Youth
DROP-IN: Fitness & Wellness -Older Adult,Fitness & Wellness,Older Adult
Learn to Skate Child - Level 3,Skating,Child
Snb 1/2 DayCamp Child 5day With Rental,Ski,Child
DROP-IN: Adapted Leisure Swimming - All Ages,Swimming,All Ages
Adult Swim: Stroke Improvement,Swimming,Adult
Youth Learn to Swim,Swimming,Youth
Ski / Snowboard Introductory Lessons,Ski,All Ages
Camp Adventure Early Child - Half Day Standard,Camps,Early Child
Performing Arts - Youth,Arts & Heritage,Youth
Adult Swim 3 - Female,Swimming,Adult
MB Camp Activity Child - All Day Standard,March Break,Child/Youth
DROP-IN: Swimming - Older Adult,Swimming,Older Adult
Performing Arts - Child,Arts & Heritage,Child
Semi Private Ultra Swim 3,Swimming,Child/Youth
Arts & Crafts - Early Child,Preschool,Early Child
Camp Activity Early Child - 1/2 Day Plus,Camps,Early Child
Racquet Sports - Adult,Sports,Adult
MB Camp Activity Youth - Full Day $15,March Break,Youth
Cooking - Youth with $15 Supply Fee,General Interest,Youth
Cardio Dance - Adult,Fitness & Wellness,Adult
Cooking - Youth,General Interest,Youth
Tai Chi - Adult,Fitness & Wellness,Adult
Special Events - Early Child,Preschool,Early Child
Leader-In-Training,Leadership,Youth
DROP-IN: Swimming - Youth,Swimming,Youth
DROP-IN: Adapted - Adult,General Interest,Adult
Visual Arts - Child,Arts & Heritage,Child
Camp Adapted & Integrated Activity Basic,Camps,Child/Youth
Camp Adventure Early Child - All Day Standard,Camps,Early Child
MB Camp Activity Early Child - All Day Basic,March Break,Early Child
Ski Early Child 4hrs With Rental,Ski,Early Child
Ballet - Child,Arts & Heritage,Child/Youth
Ultra Swim 2 - Female,Swimming,Child/Youth
Piano/Keyboard Private with Lesson Book,Arts & Heritage,Child/Youth
Snb 1/2 DayCamp Yth/Ad 5day With Rental,Ski,Youth/Adult
Staff Training,Leadership,Youth/Adult
DROP-IN: Clubs - Youth,Clubs,Youth
Volleyball - Youth,Sports,Youth
Ultra Swim 9 - Small Group,Swimming,Child/Youth
Sports - Adult,Sports,Adult
Ski Private Lesson 1hr No Rental,Ski,All Ages
Semi Private Ultra Swim 6,Swimming,Child/Youth
Ultra Swim 5 - Female,Swimming,Child/Youth
Sledge Hockey,Skating,Child
Ultra Swim 8 - Small Group,Swimming,Child/Youth
Camp Adventure Child - All Day Standard,Camps,Child/Youth
Post Natal Fitness - Adult,Fitness & Wellness,Adult
Tri Private Ultra Swim 5,Swimming,Child/Youth
General Interest - Adult,General Interest,Adult
Snb Full DayCamp Child 5day With Rental,Ski,Child
Cooking - Adult - With $10 Supply Fee,General Interest,Adult
DROP-IN: Skating - Youth,Skating,Youth
Miscellaneous - General Interest - Adult,General Interest,Adult
Adapted General Interest - Youth,General Interest,Youth
DROP-IN: Hockey Youth,Skating,Youth
Semi Private Ultra Swim 7,Swimming,Child/Youth
DROP-IN: Hockey - Child,Skating,Child
Ultra Swim 1 - Female,Swimming,Child/Youth
Volleyball - Child,Sports,Child/Youth
DROP-IN: General Interest - Child,General Interest,Child/Youth
Adapted Clubs - Youth,Clubs,Youth
Cardio Dance - Youth,Fitness & Wellness,Youth
Preschool Swim 2: Stingray - Female,Swimming,Early Child
DROP-IN: Weight Room/Fitness Centre - Older Adult,Fitness & Wellness,Older Adult
Ultra Swim 8 - Female,Swimming,Child/Youth
Ultra Swim 4 - Small Group,Swimming,Child/Youth
Ski Child 8hrs With Rental,Ski,Child
Snb Full DayCamp Child 5day No Rental,Ski,Child
DROP-IN: Weight Room/Fitness Centre - Adult,Fitness & Wellness,Adult
Ski Early Child 4hrs No Rental,Ski,Early Child
DROP-IN: Skating - Adult,Skating,Adult
Ski Full DayCamp Child 5day With Rental,Ski,Child
MB Camp Adventure Early Child-All Day Standard,March Break,Early Child
Camp Specialty Child - 1/2 Day,Camps,Child/Youth
Camp Specialty Plus Youth,Camps,Youth
Dance - Adult,Arts & Heritage,Adult
Ultra Swim 7 - Female,Swimming,Child/Youth
MB Camp Activity Early Child - Half Day Basic,March Break,Early Child
Piano/Keyboard - Group - Adult,Arts & Heritage,Adult
Performing Arts - Adult,Arts & Heritage,Adult
Adapted Camps - Adult,Camps,Youth/Adult
Walking Program - Adult,Fitness & Wellness,Adult
Basketball - Child,Sports,Child/Youth
Ski Private Lesson 4hr With Rental,Ski,All Ages
General Interest Arts - Adult,Arts & Heritage,Adult
Crafts - Youth,Arts & Heritage,Youth
Competitive Gymnastics - Child without Consumable,Sports,Child
Muscle Conditioning - Adult,Fitness & Wellness,Adult
Ultra Swim 3,Swimming,Child/Youth
General Interest - Child,General Interest,Child
Gymnastics - Child,Sports,Child
Cardio Dance - Child,Fitness & Wellness,Child/Youth
Visual Arts - Adult,Arts & Heritage,Adult
Ultra Swim 3 - Female,Swimming,Child/Youth
Ski 1/2 DayCamp Yth/Ad 5day No Rental,Ski,Youth/Adult
Adapted Camp - Early Child,Camps,Early Child
Semi Private Ultra Swim 9,Swimming,Child/Youth
DROP-IN: Arts & Heritage - Older Adult,Arts & Heritage,Older Adult
Workshops/Clinics - Child,Sports,Child/Youth
Camp Adventure Child - All Day Basic,Camps,Child/Youth
Dance - Older Adult,Arts & Heritage,Older Adult
DROP-IN: Clubs - Older Adult,General Interest,Older Adult
Line Dance - Older Adult,Arts & Heritage,Older Adult
Private Swim Lessons,Swimming,All Ages
DROP-IN: Arts & Heritage - Youth,Arts & Heritage,Youth
Learn to Skate Older Adult,Skating,Older Adult
Ski Youth/Adult 8hrs With Rental,Ski,Youth/Adult
Pilates - Adult,Fitness & Wellness,Adult
Bronze Cross,Swimming,Youth
Computers - Adult,General Interest,Adult
Games/Cards - Youth,General Interest,Youth
Competitive Gymnastics - Youth with Consumable,Sports,Youth
Bronze Star & Basic 1st Aid (CPR-A),Swimming,Child/Youth
Adapted Arts - Youth,Arts & Heritage,Youth
Ultra Swim 6 - Female,Swimming,Child/Youth
Third Party Billing Swim,Swimming,Child/Youth
Yoga - Child,Fitness & Wellness,Child/Youth
Camp Specialty Early Child - All Day,Camps,Early Child
Ski Private Lesson 1hr With Rental,Ski,All Ages
Sports - Older Adult,Sports,Older Adult
Bronze Medallion & Emergency First Aid (CPR B),Swimming,Youth
Computers - Older Adult,General Interest,Older Adult
DROP-IN: Swimming - All Ages,Swimming,All Ages
Trips - Older Adult,General Interest,Older Adult
Learn to Skate Child - Level 4,Skating,Child
Ski 1/2 DayCamp Child 5day With Rental,Ski,Child
Ultra Youth Swim 2,Swimming,Youth
Ultra Swim 3 - Small Group,Swimming,Child/Youth
Basketball - Adult,Sports,Adult
Swim Patrol,Swimming,Child/Youth
Speed Skating Child,Skating,Child/Youth
Adapted General Interest - Adult,General Interest,Adult
MB Camp Adventure Early Child - 1/2 Day Basic,March Break,Child/Youth
DROP-IN: Skating - Child,Skating,Child
Snb Youth/Adult 8hrs No Rental,Ski,Youth/Adult
Volunteer Training,Leadership,Youth/Adult
Ski Child 6hrs No Rental,Ski,Child
Crafts - Adult,Arts & Heritage,Adult
Ski Early Child 8hrs With Rental,Ski,Early Child
Workshops - Adult,Arts & Heritage,Adult
Crafts - Child,Arts & Heritage,Child
Sports - Youth,Sports,Youth
Stroke Improvement,Swimming,Child/Youth
Ballet - Youth,Arts & Heritage,Youth
Snb Child 8hrs No Rental,Ski,Child
Martial Arts - Youth,Sports,Youth
Supervised Play,Preschool,Early Child
Adapted General Interest - Child,General Interest,Child
DROP-IN: Skating - Older Adult,Skating,Older Adult
Ultra Swim 4 - Female,Swimming,Child/Youth
MB Camp Adventure Early Child - All Day Basic,March Break,Early Child
Racquet Sports - Child,Sports,Child/Youth
DROP-IN: Swimming - Adult,Swimming,Adult
Fitness - Early Child,Preschool,Early Child
Ski 1/2 DayCamp Yth/Ad 5day With Rental,Ski,Youth/Adult
Dance - Early Child,Preschool,Early Child
CAN-BIKE - Youth,Sports,Youth
Aquafit - Child,Swimming,Child/Youth
Volleyball - Adult,Sports,Adult
General Interest Sports - Child,Sports,Child/Youth
Adapted Clubs - Adult,Clubs,Adult
DROP-IN: Arts & Heritage - All Ages,Arts & Heritage,All Ages
MB Camp Activity Child - All Day Basic,March Break,Child/Youth
Bronze Cross - Female,Swimming,Youth
Bronze Star & Basic 1st Aid (CPR-A) - Female,Swimming,Child/Youth
Rookie Patrol,Swimming,Child/Youth
Aquafit - Older Adult,Swimming,Older Adult
Guardian Swim - Small Group,Swimming,Early Child
CAN-BIKE - Child,Sports,Child/Youth
DROP-IN: Arts & Heritage - Child,Arts & Heritage,Child
Adult Swim 3 - Small Group,Swimming,Adult
DROP-IN: Skating - Early Child,Skating,Early Child
Camp Activity Early Child - All Day Standard,Camps,Early Child
Tap - Child,Arts & Heritage,Child/Youth
Semi Private Ultra Swim 5,Swimming,Child/Youth
Adapted Social Club - Adult,Clubs,Adult
DROP-IN: General Interest - Adult,General Interest,Adult
Miscellaneous - General Interest - Child,General Interest,Child/Youth
Figure Skating Child,Skating,Child/Youth
DROP-IN: Swimming - Early Child,Swimming,Early Child
Camp Adventure Youth - All Day Basic,Camps,Youth
Interactive Play - Early Child,Preschool,Early Child
General Interest - Older Adult,General Interest,Older Adult
Adapted Cooking - Youth - With $15 Supply Fee,General Interest,Youth
Adapted Sports - Child,Sports,Child
Adapted Fitness - Youth,Fitness & Wellness,Youth
Music - Early Child,Preschool,Early Child
Camp Specialty Child - All Day,Camps,Child/Youth
Music - Youth,Arts & Heritage,Youth
Cooking - Child - With $15 Supply Fee,General Interest,Child/Youth
DROP-IN: General Interest - Older Adult,General Interest,Older Adult
Ultra Youth Swim 3,Swimming,Youth
Adapted Social Club - Youth,Clubs,Youth
Junior Lifeguard Club,Swimming,Child/Youth
Muscle Conditioning - Older Adult,Fitness & Wellness,Older Adult
Snb Private Lesson 1hr No Rental,Ski,All Ages
Super Swim: Shallow,Swimming,Child/Youth
Camp Activity Child - All Day Plus,Camps,Child/Youth
DROP-IN: Swimming - Child,Swimming,Child
Adapted Camp - Youth,Camps,Youth
Camp Activity Early Child-1/2 Day Standard,Camps,Early Child
Ultra Swim 9 - Female,Swimming,Child/Youth
Piano/Keyboard - Group - Child,Arts & Heritage,Child/Youth
Ski Early Child 8hrs No Rental,Ski,Early Child
Learn to Skate Child - Level 2,Skating,Child
Cooking - Early Child,Preschool,Early Child
Learn to Skate Child - Level 5,Skating,Child
Piano/Keyboard - Private - Child,Arts & Heritage,Child/Youth
Snb Youth/Adult 8hrs With Rental,Ski,Youth/Adult
DROP-IN: Sports - Youth,Sports,Youth
Star Patrol,Swimming,Child/Youth
Adapted Dance - Youth,Arts & Heritage,Youth
Ski Specialty 16hrs With Rental,Ski,All Ages
Golf - Youth,Sports,Youth
Ultra Swim 8,Swimming,Child/Youth
Challenge Gold,Swimming,Child/Youth
Snb Youth/Adult 6hrs No Rental,Ski,Youth/Adult
Tri Private Ultra Swim 1,Swimming,Child/Youth
Camp Activity Youth - All Day Extra,Camps,Youth
Older Adult Swim 1,Swimming,Older Adult
Drama - Early Child,Arts & Heritage,Early Child
Preschool Swim 3: Otter - Female,Swimming,Early Child
Ski Child 8hrs No Rental,Ski,Child
Racquet Sports - Early Child,Preschool,Early Child
Yoga - Youth,Fitness & Wellness,Youth
Ball/Floor Hockey - Adult,Sports,Adult
MB Camp Activity Youth - Full Day $0,March Break,Youth
In-Line Skating - Adult,Sports,Adult
MB Camp Activity Child - All Day Super,March Break,Child/Youth
After-School - Child,General Interest,Child
Adapted Arts - Child,Arts & Heritage,Child
Adult Swim 1 - Female,Swimming,Adult
Ballet - Adult,Arts & Heritage,Adult
Sports Clubs - Child,Clubs,Child/Youth
Cardio - Youth,Fitness & Wellness,Youth
DROP-IN: Hockey Adult,Skating,Adult
Tri Private Ultra Swim 4,Swimming,Child/Youth
Camp Adventure Early Child - All Day Basic,Camps,Early Child
Hip Hop - Youth,Arts & Heritage,Youth
DROP-IN: Weight Room/Fitness Centre - Youth,Fitness & Wellness,Youth
Hockey Skills / Power Skate Adult,Skating,Adult
Hobbies and Interests - Youth,General Interest,Youth
Music - Private - All Ages,Arts & Heritage,All Ages
Tri Private Ultra Swim 8,Swimming,Child/Youth
DROP-IN: Sports - Child,Sports,Child/Youth
Games - Older Adult,General Interest,Older Adult
Competitive Gymnastics - Youth without Consumable,Sports,Youth
Camp Activity Early Child - 1/2 Day Basic,Camps,Early Child
Snb Youth/Adult 6hrs With Rental,Ski,Youth/Adult
